2018/11/04 23:24:32 loader.go:77: Connecting to zero at localhost:5080
2018/11/04 23:24:32 Replaying from value pointer: {Fid:0 Len:0 Offset:0}
2018/11/04 23:24:32 Iterating file id: 0
2018/11/04 23:24:32 Iteration took: 24.291µs
processing file (1 out of 1): /home/iderr/workspace/graphdb-benchmarks/databases/dgraph/../../data/21million.rdf.gz
MAP 50s rdf_count:13.33M err_count:0.000 rdf_speed:266.5k/sec edge_count:26.67M edge_speed:533.0k/sec
MAP 51s rdf_count:13.44M err_count:0.000 rdf_speed:263.4k/sec edge_count:26.89M edge_speed:526.9k/sec
MAP 52s rdf_count:13.73M err_count:0.000 rdf_speed:263.8k/sec edge_count:27.45M edge_speed:527.6k/sec
MAP 53s rdf_count:13.79M err_count:0.000 rdf_speed:260.1k/sec edge_count:27.58M edge_speed:520.1k/sec
MAP 54s rdf_count:13.85M err_count:0.000 rdf_speed:256.3k/sec edge_count:27.69M edge_speed:512.5k/sec
MAP 55s rdf_count:13.90M err_count:0.000 rdf_speed:252.6k/sec edge_count:27.80M edge_speed:505.1k/sec
MAP 56s rdf_count:14.00M err_count:0.000 rdf_speed:249.9k/sec edge_count:28.01M edge_speed:499.9k/sec
MAP 57s rdf_count:14.31M err_count:0.000 rdf_speed:250.9k/sec edge_count:28.62M edge_speed:501.7k/sec
MAP 58s rdf_count:14.74M err_count:0.000 rdf_speed:254.1k/sec edge_count:29.49M edge_speed:508.1k/sec
MAP 59s rdf_count:14.99M err_count:0.000 rdf_speed:253.9k/sec edge_count:29.98M edge_speed:507.8k/sec
MAP 01m00s rdf_count:15.42M err_count:0.000 rdf_speed:256.8k/sec edge_count:30.84M edge_speed:513.6k/sec
MAP 01m01s rdf_count:15.84M err_count:0.000 rdf_speed:259.5k/sec edge_count:31.67M edge_speed:518.9k/sec
MAP 01m02s rdf_count:16.32M err_count:0.000 rdf_speed:263.1k/sec edge_count:32.64M edge_speed:526.2k/sec
MAP 01m03s rdf_count:16.73M err_count:0.000 rdf_speed:265.4k/sec edge_count:33.46M edge_speed:530.8k/sec
MAP 01m04s rdf_count:17.20M err_count:0.000 rdf_speed:268.6k/sec edge_count:34.39M edge_speed:537.1k/sec
MAP 01m05s rdf_count:17.79M err_count:0.000 rdf_speed:273.5k/sec edge_count:35.57M edge_speed:547.0k/sec
MAP 01m06s rdf_count:18.31M err_count:0.000 rdf_speed:277.2k/sec edge_count:36.62M edge_speed:554.5k/sec
MAP 01m07s rdf_count:18.95M err_count:0.000 rdf_speed:282.6k/sec edge_count:37.89M edge_speed:565.3k/sec
MAP 01m08s rdf_count:19.49M err_count:0.000 rdf_speed:286.5k/sec edge_count:38.98M edge_speed:572.9k/sec
MAP 01m09s rdf_count:20.03M err_count:0.000 rdf_speed:290.2k/sec edge_count:40.07M edge_speed:580.4k/sec
MAP 01m10s rdf_count:20.29M err_count:0.000 rdf_speed:289.6k/sec edge_count:40.57M edge_speed:579.2k/sec
MAP 01m11s rdf_count:20.81M err_count:0.000 rdf_speed:292.9k/sec edge_count:41.61M edge_speed:585.8k/sec
MAP 01m12s rdf_count:21.13M err_count:0.000 rdf_speed:293.2k/sec edge_count:42.25M edge_speed:586.4k/sec
MAP 01m13s rdf_count:21.23M err_count:0.000 rdf_speed:290.6k/sec edge_count:42.45M edge_speed:581.2k/sec
MAP 01m14s rdf_count:21.24M err_count:0.000 rdf_speed:286.8k/sec edge_count:42.48M edge_speed:573.7k/sec
MAP 01m15s rdf_count:21.24M err_count:0.000 rdf_speed:283.0k/sec edge_count:42.48M edge_speed:566.0k/sec
MAP 01m16s rdf_count:21.24M err_count:0.000 rdf_speed:279.3k/sec edge_count:42.48M edge_speed:558.6k/sec
MAP 01m17s rdf_count:21.24M err_count:0.000 rdf_speed:275.7k/sec edge_count:42.48M edge_speed:551.3k/sec
MAP 01m18s rdf_count:21.24M err_count:0.000 rdf_speed:272.1k/sec edge_count:42.48M edge_speed:544.3k/sec
MAP 01m19s rdf_count:21.24M err_count:0.000 rdf_speed:268.7k/sec edge_count:42.48M edge_speed:537.4k/sec
MAP 01m20s rdf_count:21.24M err_count:0.000 rdf_speed:265.3k/sec edge_count:42.48M edge_speed:530.7k/sec
MAP 01m21s rdf_count:21.24M err_count:0.000 rdf_speed:262.1k/sec edge_count:42.48M edge_speed:524.1k/sec
MAP 01m22s rdf_count:21.24M err_count:0.000 rdf_speed:258.9k/sec edge_count:42.48M edge_speed:517.7k/sec
MAP 01m23s rdf_count:21.24M err_count:0.000 rdf_speed:255.8k/sec edge_count:42.48M edge_speed:511.5k/sec
MAP 01m24s rdf_count:21.24M err_count:0.000 rdf_speed:252.7k/sec edge_count:42.48M edge_speed:505.4k/sec
MAP 01m25s rdf_count:21.24M err_count:0.000 rdf_speed:249.7k/sec edge_count:42.48M edge_speed:499.5k/sec
MAP 01m26s rdf_count:21.24M err_count:0.000 rdf_speed:246.8k/sec edge_count:42.48M edge_speed:493.6k/sec
MAP 01m27s rdf_count:21.24M err_count:0.000 rdf_speed:244.0k/sec edge_count:42.48M edge_speed:487.9k/sec
MAP 01m28s rdf_count:21.24M err_count:0.000 rdf_speed:241.2k/sec edge_count:42.48M edge_speed:482.4k/sec
2018/11/04 23:26:01 merge_shards.go:36: Shard tmp/shards/001 -> Reduce tmp/shards/shard_0/001
2018/11/04 23:26:01 merge_shards.go:36: Shard tmp/shards/000 -> Reduce tmp/shards/shard_0/000
2018/11/04 23:26:01 merge_shards.go:36: Shard tmp/shards/004 -> Reduce tmp/shards/shard_0/004
2018/11/04 23:26:01 merge_shards.go:36: Shard tmp/shards/003 -> Reduce tmp/shards/shard_0/003
2018/11/04 23:26:01 merge_shards.go:36: Shard tmp/shards/002 -> Reduce tmp/shards/shard_0/002
2018/11/04 23:26:01 merge_shards.go:36: Shard tmp/shards/005 -> Reduce tmp/shards/shard_0/005
2018/11/04 23:26:01 Replaying from value pointer: {Fid:0 Len:0 Offset:0}
2018/11/04 23:26:01 Iterating file id: 0
2018/11/04 23:26:01 Iteration took: 45.334µs
REDUCE 01m29s [1.31%] edge_count:557.3k edge_speed:557.3k/sec plist_count:91.29k plist_speed:91.29k/sec
REDUCE 01m30s [6.10%] edge_count:2.590M edge_speed:2.589M/sec plist_count:432.5k plist_speed:432.4k/sec
REDUCE 01m31s [10.32%] edge_count:4.382M edge_speed:2.190M/sec plist_count:734.1k plist_speed:366.9k/sec
REDUCE 01m32s [13.07%] edge_count:5.553M edge_speed:1.850M/sec plist_count:929.0k plist_speed:309.5k/sec
REDUCE 01m33s [17.20%] edge_count:7.306M edge_speed:1.826M/sec plist_count:1.223M plist_speed:305.7k/sec
REDUCE 01m34s [21.32%] edge_count:9.056M edge_speed:1.810M/sec plist_count:1.518M plist_speed:303.4k/sec
REDUCE 01m35s [25.42%] edge_count:10.80M edge_speed:1.799M/sec plist_count:1.801M plist_speed:300.0k/sec
REDUCE 01m36s [29.95%] edge_count:12.72M edge_speed:1.817M/sec plist_count:2.121M plist_speed:302.8k/sec
REDUCE 01m37s [33.98%] edge_count:14.44M edge_speed:1.804M/sec plist_count:2.404M plist_speed:300.4k/sec
REDUCE 01m38s [37.64%] edge_count:15.99M edge_speed:1.776M/sec plist_count:2.645M plist_speed:293.8k/sec
REDUCE 01m39s [41.94%] edge_count:17.81M edge_speed:1.781M/sec plist_count:2.948M plist_speed:294.7k/sec
REDUCE 01m40s [45.73%] edge_count:19.42M edge_speed:1.765M/sec plist_count:3.214M plist_speed:292.1k/sec
REDUCE 01m41s [49.72%] edge_count:21.12M edge_speed:1.759M/sec plist_count:3.493M plist_speed:291.0k/sec
REDUCE 01m42s [52.39%] edge_count:22.25M edge_speed:1.711M/sec plist_count:3.852M plist_speed:296.2k/sec
REDUCE 01m43s [55.08%] edge_count:23.40M edge_speed:1.671M/sec plist_count:4.342M plist_speed:310.0k/sec
REDUCE 01m44s [56.96%] edge_count:24.20M edge_speed:1.612M/sec plist_count:4.762M plist_speed:317.3k/sec
REDUCE 01m45s [58.54%] edge_count:24.87M edge_speed:1.554M/sec plist_count:5.106M plist_speed:319.0k/sec
REDUCE 01m46s [60.31%] edge_count:25.62M edge_speed:1.506M/sec plist_count:5.489M plist_speed:322.7k/sec
